image,split,source,time_sec,detections
IMG1561_t001.jpg,train,original_IMG1561_dataset,,2
IMG1561_t002.jpg,train,original_IMG1561_dataset,,2
IMG1561_t003.jpg,train,original_IMG1561_dataset,,2
IMG1561_t004.jpg,train,original_IMG1561_dataset,,2
IMG1561_t006.jpg,train,original_IMG1561_dataset,,2
IMG1561_t007.jpg,train,original_IMG1561_dataset,,3
IMG1561_t008.jpg,train,original_IMG1561_dataset,,2
IMG1561_t009.jpg,train,original_IMG1561_dataset,,2
IMG1561_t011.jpg,train,original_IMG1561_dataset,,2
IMG1561_t012.jpg,train,original_IMG1561_dataset,,2
IMG1561_t013.jpg,train,original_IMG1561_dataset,,2
IMG1561_t014.jpg,train,original_IMG1561_dataset,,2
IMG1561_t016.jpg,train,original_IMG1561_dataset,,2
IMG1561_t017.jpg,train,original_IMG1561_dataset,,3
IMG1561_t018.jpg,train,original_IMG1561_dataset,,2
IMG1561_t019.jpg,train,original_IMG1561_dataset,,2
IMG1561_t021.jpg,train,original_IMG1561_dataset,,3
IMG1561_t022.jpg,train,original_IMG1561_dataset,,2
IMG1561_t023.jpg,train,original_IMG1561_dataset,,2
IMG1561_t024.jpg,train,original_IMG1561_dataset,,3
IMG1561_t026.jpg,train,original_IMG1561_dataset,,1
IMG1561_t027.jpg,train,original_IMG1561_dataset,,1
IMG1561_t028.jpg,train,original_IMG1561_dataset,,2
IMG1561_t029.jpg,train,original_IMG1561_dataset,,1
IMG1561_t031.jpg,train,original_IMG1561_dataset,,1
IMG1561_t032.jpg,train,original_IMG1561_dataset,,1
IMG1561_t033.jpg,train,original_IMG1561_dataset,,1
IMG1561_t034.jpg,train,original_IMG1561_dataset,,1
IMG1561_t036.jpg,train,original_IMG1561_dataset,,1
IMG1561_t037.jpg,train,original_IMG1561_dataset,,1
IMG1561_t038.jpg,train,original_IMG1561_dataset,,0
IMG1561_t039.jpg,train,original_IMG1561_dataset,,0
IMG1561_t041.jpg,train,original_IMG1561_dataset,,1
IMG1561_t042.jpg,train,original_IMG1561_dataset,,0
IMG1561_t043.jpg,train,original_IMG1561_dataset,,1
