image,time_sec,class_id,class_name,x1,y1,x2,y2,split,source
IMG1561_t000.jpg,0,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t000.jpg,0,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t001.jpg,1,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t001.jpg,1,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t002.jpg,2,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t002.jpg,2,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t003.jpg,3,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t003.jpg,3,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t004.jpg,4,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t004.jpg,4,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t005.jpg,5,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t005.jpg,5,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t006.jpg,6,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t006.jpg,6,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t007.jpg,7,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t007.jpg,7,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t007.jpg,7,0,meerkat,567,272,611,315,train,motion_plus_anchor_pseudo
IMG1561_t008.jpg,8,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t008.jpg,8,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t009.jpg,9,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t009.jpg,9,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t010.jpg,10,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t010.jpg,10,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t011.jpg,11,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t011.jpg,11,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t012.jpg,12,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t012.jpg,12,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t013.jpg,13,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t013.jpg,13,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t014.jpg,14,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t014.jpg,14,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t015.jpg,15,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t015.jpg,15,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t016.jpg,16,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t016.jpg,16,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t017.jpg,17,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t017.jpg,17,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t017.jpg,17,0,meerkat,716,96,743,142,train,motion_plus_anchor_pseudo
IMG1561_t018.jpg,18,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t018.jpg,18,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t019.jpg,19,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t019.jpg,19,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t020.jpg,20,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t020.jpg,20,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t020.jpg,20,0,meerkat,190,153,238,191,val,motion_plus_anchor_pseudo
IMG1561_t021.jpg,21,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t021.jpg,21,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t021.jpg,21,0,meerkat,204,172,234,210,train,motion_plus_anchor_pseudo
IMG1561_t022.jpg,22,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t022.jpg,22,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t023.jpg,23,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t023.jpg,23,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t024.jpg,24,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t024.jpg,24,0,meerkat,490,310,545,415,train,motion_plus_anchor_pseudo
IMG1561_t024.jpg,24,0,meerkat,484,127,515,160,train,motion_plus_anchor_pseudo
IMG1561_t025.jpg,25,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t025.jpg,25,0,meerkat,490,310,545,415,val,motion_plus_anchor_pseudo
IMG1561_t025.jpg,25,0,meerkat,98,219,142,247,val,motion_plus_anchor_pseudo
IMG1561_t026.jpg,26,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t027.jpg,27,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t028.jpg,28,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t028.jpg,28,0,meerkat,452,218,509,258,train,motion_plus_anchor_pseudo
IMG1561_t029.jpg,29,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t030.jpg,30,0,meerkat,335,300,390,405,val,motion_plus_anchor_pseudo
IMG1561_t031.jpg,31,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t032.jpg,32,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
IMG1561_t033.jpg,33,0,meerkat,335,300,390,405,train,motion_plus_anchor_pseudo
